评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//nieyinghui,尖灬果儿,女,山东,246,708,499,被骂了知道重新调查了？网络治国？,213,2020-08-26 08:35 
https://weibo.cn//u/6127766541,大侠向黄昏,男,北京,141,68,57,网络治国太悲哀了,139,2020-08-26 08:38 
https://weibo.cn//u/7118121041,是孟亦田,女,澳门,1128,304,17825,今天的中国没有微博会什么样？不敢想象…,75,2020-08-26 08:36 
https://weibo.cn//YY51022,明朗为夏臻唯陆,女,云南,546,76,83,回复@是孟亦田:现在好都冤案重审，只是我们不知道。,0,2020-08-26 18:00 
https://weibo.cn//u/7335322237,卑微小明在线哔哔,男,湖南,7,21,44,回复@我是段承轩:这个不算   因为当时警方是占他那边   而且他本来也就是胜诉的情况下提出的赔偿   但是这要是赔偿了肯定有一半以上会进官袋的,0,2020-08-26 16:24 
https://weibo.cn//u/7335322237,卑微小明在线哔哔,男,湖南,7,21,44,回复@长川ccc:中国的入室盗窃你是不能擒拿小偷的   否则你就是非法拘禁   而且指不定小偷路上呗撞死了  你都要赔偿损失,0,2020-08-26 16:22 
https://weibo.cn//u/6860262919,年过半百的大叔777,男,广东,946,327,194,网络治国,0,2020-08-26 15:58 
https://weibo.cn//u/6904505799,红润响_bevt7,男,新疆,48,280,5,     举报             赞[0]         回复             今天 15:55 来自网页,0,2020-08-26 15:55 
https://weibo.cn//u/6183070866,SunLiPing97,女,其他,2,37,12,。,0,2020-08-26 15:50 
https://weibo.cn//u/6686509346,湫94652,男,其他,8,31,5,法律是给穷人定的吧,0,2020-08-26 15:24 
https://weibo.cn//u/2464639205,远东扬帆,男,山西,1258,633,103,回复@强盗d:@央视新闻 这个案子如果国家不出面，会让道德滑坡，警察机关失去公信力，人民的影响十分深渊！,0,2020-08-26 15:06 
https://weibo.cn//u/1906906452,小溪罗罗,女,浙江,59,44,177,还是建议中纪委彻查永州公安系统，查查这些年到底有多少冤假错案，有多少黑社会披着人民警察的制服混进了公安局。,0,2020-08-26 13:41 
https://weibo.cn//u/1725700465,q同归于寂p,女,其他,541,378,322,不知道他以后还有没有勇气见义勇为,0,2020-08-26 13:34 
https://weibo.cn//u/5664017602,久久久久best医植菜,男,其他,281,437,131,回复@Ferro费罗球迷会:有好多呢，什么各种检察院的，律师，警察，辅警………,1,2020-08-26 13:08 
https://weibo.cn//u/5864615377,再一次231,女,湖南,81,121,29,这小地方早就烂到骨子里了,0,2020-08-26 13:02 
https://weibo.cn//u/2022322514,繁华尽处是落花,男,陕西,1539,568,339,见义勇为的社会良知良序被这些权利的黑手打掉了，成功阻吓了还有见义勇为想法的人，永州公安为社会道德建设捅了一刀,1,2020-08-26 12:44 
https://weibo.cn//u/6320152873,Ferro费罗球迷会,男,北京,38,115,19,回复@久久久久best医植菜:还有人洗地？,1,2020-08-26 12:28 
https://weibo.cn//u/5600832180,这辈子开始好好生活,女,其他,13,23,1,回复@是孟亦田:啊也不至于没有微博就怎么样了吧…………微博前几年公知猖獗的时候没事情都要煽风点火要亡国。不能否认其他地方基层做出的贡献吧，比如前段时间杀妻案，不是警方连轴转找出来的线索嘛,1,2020-08-26 12:18 
https://weibo.cn//u/5917751777,乖一一乖,女,广东,255,314,108,中央是不是考虑一下派调查组去永州警方部门？？？干出这种天怒人怨民愤舆论压力下才放胡同学回家！而猥亵男居然才拘留15日？？？？我国刑法猥亵罪公共场合猥亵妇女不是判处5年以上有期徒刑吗？,0,2020-08-26 12:05 
https://weibo.cn//u/2606766047,AsyncZH,女,北京,2049,388,392,靠网络舆论才能走到这一步，真是太可悲了,0,2020-08-26 11:54 
https://weibo.cn//u/2708028484,yukunxi,男,江苏,42,122,68,知错能改 这是在往好的方向发展,0,2020-08-26 11:44 
https://weibo.cn//u/5540568969,海的尽头是怎样的景象,男,其他,451,420,218,如果冤案没有落入大众视线中 就不会伸张正义了 是这个意思吗  ,0,2020-08-26 11:37 
https://weibo.cn//u/5859573607,长川ccc,男,其他,23,86,32,笑飞了，这一手改判是真的6，我国要是整个国家禁网日，严格执行禁网日的要求，在那一天上网，看手机就罚款。要照你这么做，那一天想猥亵的猥亵，想偷窃的偷窃，不是都肆无忌惮？这中国一天不是得几十万好人坐牢？网络治国，中国首当其冲，真是nb了我的国,1,2020-08-26 11:27 
https://weibo.cn//u/6556889001,Fatso_Rey,男,广东,35,39,29,     举报             赞[0]         回复             今天 11:15 来自网页,0,2020-08-26 11:15 
https://weibo.cn//u/5523622205,桥本环奈的圈外男友,男,海外,107,265,140,冷水滩公安局确实实至名归，擅长破冷水,3,2020-08-26 10:48 
https://weibo.cn//u/3033287863,我其实想做一个商人,男,山东,495,758,491,还不够解气🙃应该关死那个老东西,1,2020-08-26 10:41 
https://weibo.cn//u/5911911430,给吴邪建火柴厂,女,黑龙江,502,641,14,回复@某系哇:👂🏻哈尔滨公安局是哪个案件,0,2020-08-26 10:41 
https://weibo.cn//u/5290980293,水瓶里的小狮子Z,女,广东,1591,83,247,办案民警是不是也要接受检查？有没有内幕？,0,2020-08-26 10:30 
https://weibo.cn//u/2803042504,Miss-Orange,女,广东,319,277,173,呵呵 真的是不引起一点点社会反响都不知道好好办案 维护社会正义靠的是舆论 某公安局是干嘛的,0,2020-08-26 10:29 
https://weibo.cn//u/5992799531,有趣的灵魂一米六八jpg,男,其他,4,126,34,敲诈勒索也得处罚吧，去医院还一万呢，也得还回来,1,2020-08-26 10:23 
https://weibo.cn//u/2181794520,炸炸唷,女,其他,29,157,230,敲诈勒索罪不处理一下呢，开口就是20万呢,0,2020-08-26 10:11 
https://weibo.cn//u/6328945590,疯狂ADC,男,山东,57,38,11,冷水滩分局的头头脑脑应该全撤职了吧,0,2020-08-26 10:11 
https://weibo.cn//u/6257207212,呢哇提姆,男,其他,95,104,54,该动一动公安系统和检察系统了,0,2020-08-26 10:06 
https://weibo.cn//206063036,整啖菠蘿油,男,广东,1073,283,692,反告他勒索,0,2020-08-26 10:05 
https://weibo.cn//u/2721718353,爱谁谁大哥,男,河南,231,763,16,回复@Dood1e:这是生意,0,2020-08-26 10:04 
https://weibo.cn//u/7446577107,无意识冲浪者,女,湖北,11,42,3,？？？？？？？？？这事要是不爆出来是不是就让人家拘留15日了，无语,1,2020-08-26 09:52 
https://weibo.cn//u/5664017602,久久久久best医植菜,男,其他,281,437,131,回复@暂且用这个昵称:那谁知道呢，这纯粹就是栽赃陷害,0,2020-08-26 09:50 
https://weibo.cn//u/5714463066,图雪南拉,男,其他,619,358,61,一定要调查清楚！见义勇为应该受到嘉奖🙏🙏🙏🙏,0,2020-08-26 09:46 
https://weibo.cn//u/6990813444,暂且用这个昵称,男,北京,66,76,10,回复@久久久久best医植菜:有脸？,0,2020-08-26 09:44 
https://weibo.cn//u/7307384580,RAKUEKI想困觉,女,海外,151,542,17,迟来的正义是妥协？特朗普推特治国，而你们的法律居然是网络治国。,0,2020-08-26 09:42 
https://weibo.cn//u/5100895364,初心莫忘99,女,江苏,3416,1042,113,幸好舆论闹大了,2,2020-08-26 09:41 
https://weibo.cn//u/6457879768,君丶如水,女,四川,10,169,20,还要补偿男孩！！平白无故被拘留！！永州这地方真是庙小妖风大，池浅王八多……,10,2020-08-26 09:36 
https://weibo.cn//u/2968564581,永不退缩-国林,男,天津,32,218,23,就是这样执法，谁能把我怎么着了，悲哀呀,0,2020-08-26 09:35 
