,Unnamed: 0,评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间,senta_sentiments
0,0,https://weibo.cn//u/5523622205,桥本环奈的圈外男友,男,海外,107,265,140,微博办案，可悲，彻查当地公安局吧，这么离谱的事没有钱权交易？,87,2020-08-26 10:47 ,negative
1,1,https://weibo.cn//u/1596389440,IV·16,女,广东,51,229,401,可悲，最后还是靠的广大网友微博办案。,45,2020-08-26 10:40 ,negative
2,2,https://weibo.cn//u/2534540457,枫无止步,男,其他,754,361,202,微博快成法院了。。。,26,2020-08-26 11:37 ,negative
3,3,https://weibo.cn//u/3508589371,王八蛋碰到大混蛋,男,浙江,10,87,6,回复@没有时光机的哆来A梦:他这种根本不可能变成正当防卫的，最多就是赔点钱，轻轻的处理，来缓和一下网友的怒气,0,2020-08-26 21:52,negative
4,4,https://weibo.cn//u/1596389440,IV·16,女,广东,51,229,401,回复@feiclong_680:大家的意思是终于引起上级的重视有机会为小胡翻案了，你以为就你聪明？字面意思谁不懂？,0,2020-08-26 19:21 ,positive
5,5,https://weibo.cn//u/5803103774,左眼观股市,男,山东,3211,25,166,社会会给他公正的对待的。经此一事，所有人都更清楚了他见义勇为的事情了，不要说是见义勇为，就是救自己的女朋友也是应该做的。哪怕退一步，看到女生被欺负，敢于站出来，也是应该的。,0,2020-08-26 18:02 ,positive
6,6,https://weibo.cn//u/6001108128,上卿漪,女,其他,955,109,137,大家关注一下深圳新入职员工强奸案，报警后警察不抓强奸犯，女生对象气不过打了强奸犯一顿，警察立马让她们赔了1000块钱医药费,0,2020-08-26 17:02 ,negative
7,7,https://weibo.cn//u/7335322237,卑微小明在线哔哔,男,湖南,7,21,44,回复@桥本环奈的圈外男友:被索赔二十万里面肯定是准备十万+进官袋的啦,1,2020-08-26 16:20 ,negative
8,8,https://weibo.cn//uc42187074,云之风FY,男,陕西,1518,55,221,这个时候《未成年人保护法》却在这个事件过程中显得那么无关重要，法律保护起了坏人。,3,2020-08-26 15:08 ,negative
9,9,https://weibo.cn//u/2559154947,EHOZZ,女,黑龙江,4173,116,249,那个猥亵的人请曝光他，以后他去哪儿都要被暴力对待,0,2020-08-26 14:41 ,negative
10,10,https://weibo.cn//u/2559154947,EHOZZ,女,黑龙江,4173,116,249,这时候又不保护未成年人了,0,2020-08-26 14:40 ,negative
11,11,https://weibo.cn//u/1788411093,feiclong_680,男,浙江,66,211,38,回复@没有时光机的哆来A梦:是啊，但这里大多数人以为自己做了回法官，还胜利了，基本的阅读理解能力都没有还想做法官，害怕。,0,2020-08-26 13:56 ,negative
12,12,https://weibo.cn//u/6633348691,爬宠杂货,男,其他,49,61,14,已经给的钱能不能拿回来，凭什么给变态赔钱,5,2020-08-26 13:52 ,negative
13,13,https://weibo.cn//u/5651994572,星星是可爱糖,女,湖南,49,163,164,告诉那位男孩，他做的没有错！！！这位父亲教育的很好！！,3,2020-08-26 13:16 ,positive
14,14,https://weibo.cn//u/7400058955,William15246,男,其他,30,32,2,良心媒体,3,2020-08-26 12:31 ,negative
15,15,https://weibo.cn//u/3478438605,蜜桃也想过,女,江苏,120,38,88,太心寒了！！！！！！！,1,2020-08-26 12:10 ,negative
16,16,https://weibo.cn//u/5472972270,醉流樱之拾光,女,四川,814,178,287,转发微博,0,2020-08-26 11:58 ,negative
17,17,https://weibo.cn//u/2523761002,已是饭圈外,女,其他,559,265,176,这人的新鲜骨折该不是被其他受害者男朋友打的吧，踹一脚能粉碎那么多骨头的多半得有骨质酥松,19,2020-08-26 11:47 ,negative
18,18,https://weibo.cn//u/2797587934,没有时光机的哆来A梦,男,浙江,64,42,1393,这个意思不是无罪，是重新审查。如果认定骨折事实清楚，可能还需要被抓。,5,2020-08-26 11:41 ,negative
19,19,https://weibo.cn//u/2534540457,枫无止步,男,其他,754,361,202,微博快成法院了。。。,26,2020-08-26 11:37 ,negative
20,20,https://weibo.cn//u/6820778434,湾区Jason,男,广东,24,63,24,每次看到不放网上没人管，其实很多放在网上最后都不了了之！知足吧,7,2020-08-26 11:28 ,negative
21,21,https://weibo.cn//u/5123303439,再睡一小会吧,男,其他,124,206,13,正义终于来了,3,2020-08-26 10:55 ,positive
22,22,https://weibo.cn//u/5523622205,桥本环奈的圈外男友,男,海外,107,265,140,微博办案，可悲，彻查当地公安局吧，这么离谱的事没有钱权交易？,87,2020-08-26 10:47 ,negative
23,23,https://weibo.cn//u/2138290293,和气8,女,北京,405,328,157,看了这样的结果，悲喜交织,23,2020-08-26 10:45 ,positive
24,24,https://weibo.cn//u/1596389440,IV·16,女,广东,51,229,401,可悲，最后还是靠的广大网友微博办案。,45,2020-08-26 10:40 ,negative
25,25,https://weibo.cn//u/6735361180,不会进化的阿Q,男,其他,595,461,88,啊啊啊啊太好了真的！！！,1,2020-08-26 10:38 ,positive
26,26,https://weibo.cn//u/7330138668,谁啊这是66,女,江苏,338,472,7,真是可悲。,1,2020-08-26 10:32 ,negative
27,27,https://weibo.cn//u/5121657515,仙居wy,女,江苏,45,309,17,啊干得漂亮!!!,4,2020-08-26 10:31 ,positive
