,Unnamed: 0,评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间,senta_sentiments
0,0,https://weibo.cn//dfjb,东方今报,女,河南,76756,1106,7476987,东方今报新闻热线：16603712315,3735,2020-08-26 10:54 ,positive
1,1,https://weibo.cn//dfjb,东方今报,女,河南,76756,1106,7476987,【,482,2020-08-26 12:34 ,positive
2,2,https://weibo.cn//u/3333606080,耶稣夫斯基,男,江苏,60,686,120,东方今报在这次事件中功不可没！舆情压力对胡同学起到了很大帮助，匡扶正义！,11787,2020-08-26 10:43 ,positive
3,3,https://weibo.cn//u/5545332565,不会产奶的奶牛的秋天,男,江苏,153,13,68,舆论治国,0,2020-08-26 23:04,positive
4,4,https://weibo.cn//u/6224334472,中乙二线预备队候选替补,男,其他,2093,2300,272,可怜的正义又迟到了。,0,2020-08-26 23:04,negative
5,5,https://weibo.cn//u/2153686344,ShelleyPang,女,广东,1241,1084,628,回复@每天都要日只狗:以下的话不是怼你。不要用累与否来评价一个事情有没有意义。有些事值得你付出时间去努力。我不是说学历高就万能。但是男孩有了不良，现在大家记得他，十年呢？二十年呢？他要无数次向别人解释自己当年为什么有这个不良记录。给生活多一些小确幸，有助止损。当然路有千万条，走得坦荡最重要。,0,2020-08-26 23:03,positive
6,6,https://weibo.cn//kogu,DaisyKo菊少,女,广东,734,292,624,果断关注，良心媒体,0,2020-08-26 23:02,positive
7,7,https://weibo.cn//xpower0303,比較大的大業林,男,山东,505,240,255,回复@老窝头:人家本来就是为了博眼球的，又不是为了替屁民发声,0,2020-08-26 23:01,negative
8,8,https://weibo.cn//u/1905783881,小城豪雨,男,河北,10036,598,1015,终于没扛住舆论压力啊！！,0,2020-08-26 22:58,negative
9,9,https://weibo.cn//jogginglx,JoggingLX,男,北京,271,125,220,请授见义勇为奖！,0,2020-08-26 22:56,positive
10,10,https://weibo.cn//jogginglx,JoggingLX,男,北京,271,125,220,请授见义勇为奖！,0,2020-08-26 22:56,positive
11,11,https://weibo.cn//u/5151782061,快乐的小薯条ooo,男,其他,2265,400,344,回复@_finefinefine:真的是,0,2020-08-26 22:56,negative
12,12,https://weibo.cn//u/2153686344,ShelleyPang,女,广东,1241,1084,628,回复@每天都要日只狗:不好意思，985，工作6年，拿下海外Top100学校硕士学位。请不要曲解我的意思。报道中说男孩高考失利。不要让一件事毁了自己一生，我们需要止损。然后，你读了这么多年书，阅读理解还没过关吗？,0,2020-08-26 22:56,negative
13,13,https://weibo.cn//u/1791126755,wanziye,女,山东,2923,161,435,网友的力量是强大的!！不然默默无闻估计已经进监狱了,0,2020-08-26 22:54,negative
14,14,https://weibo.cn//u/3937238701,我是周小小小小小小小玉,女,四川,310,334,241,如果不是网络舆论这么大 你们能这么就解除了吗？男孩子本来就没错！猥琐男就该打！！！,0,2020-08-26 22:53,negative
15,15,https://weibo.cn//u/6179714961,追梦人小疯子1711,男,河南,190,87,1,     举报             赞[0]         回复             14分钟前 来自网页,0,2020-08-26 22:51,negative
16,16,https://weibo.cn//u/2673701903,-朱舒涵,女,浙江,220,86,62,猥亵男看到自己证据确凿要逃跑，男生去拦他，就算算不上见义勇为他也没错啊。要是做没错的事之前要仔细考虑是否会有意外会被追责，以后谁还会做对的事？,0,2020-08-26 22:50,negative
