,Unnamed: 0,评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间,senta_sentiments
0,0,https://weibo.cn//dfjb,东方今报,女,河南,76757,1106,7477722,现场视频：,2228,2020-08-24 20:57,negative
1,1,https://weibo.cn//dfjb,东方今报,女,河南,76757,1106,7477722,【,1606,2020-08-24 22:38,positive
2,2,https://weibo.cn//dfjb,东方今报,女,河南,76757,1106,7477722,【最新｜,824,2020-08-24 23:31,positive
3,3,https://weibo.cn//u/1971398073,六木子lessie,男,陕西,154,94,154,哪里有压迫，哪里就有反抗,0,2020-08-26 23:04,positive
4,4,https://weibo.cn//u/2695045230,狂掉SAN值ing,女,北京,41,191,37,谁来赔偿他们俩的后半辈子啊，高考全砸了,0,2020-08-26 22:58,negative
5,5,https://weibo.cn//u/2338514012,春秋其代序,男,甘肃,1285,694,173,法治国家，法律就是国王。 法治，最基本的理念，就是前提合法。前提不合法的情况下，偏要,0,2020-08-26 22:49 ,negative
6,6,https://weibo.cn//u/5355845127,_十点差三分呀,男,其他,0,0,1,我真的不懂。为什么强奸、猥亵、霸凌同学的少年恶棍，判刑时都要“考虑其前途”，从轻处理，甚至不处理；而判起见义勇为的好少年来，就从来不考虑他们的前途了？,1,2020-08-26 22:24 ,negative
7,7,https://weibo.cn//u/3269454205,T糖糖甜甜圈,女,台湾,833,158,225,回复@zjmo2020:嗯，我看到公告了，谢谢。,0,2020-08-26 22:18 ,positive
8,8,https://weibo.cn//u/5550111134,跨越世纪鸿沟的梦,女,其他,4,95,17,法律正在让中国人慢慢变得没有见义勇为,0,2020-08-26 21:41 ,negative
9,9,https://weibo.cn//u/5676159745,我要当学霸_59164,女,山东,918,202,188,以后遇到这种事，是不是还得夸你做得好,0,2020-08-26 21:37 ,negative
10,10,https://weibo.cn//u/5849286700,不是甜娘,女,四川,1256,611,86,？这就是地狱空荡荡的原因吗,0,2020-08-26 21:26 ,negative
11,11,https://weibo.cn//u/3508589371,王八蛋碰到大混蛋,男,浙江,10,88,6,回复@山的那边有群大头比丶:事实是自己女朋友被别人撞了，当然要表现一下,0,2020-08-26 21:25 ,negative
12,12,https://weibo.cn//u/3538605271,DownTearth,男,其他,3137,326,402,警察除了扫毒那些刑警，其余的基本上都是吃干饭的，干啥啥不行，吃拿卡要第一名，社会蛀虫，浪费纳税人金钱，还不如拿去给贫困地区的孩子上学，养着这群垃圾纯粹是糟蹋米饭,0,2020-08-26 21:05 ,negative
13,13,https://weibo.cn//u/7468231667,zjmo2020,男,新疆,4,112,39,回复@T糖糖甜甜圈:不是耽误了高考，据那个女孩说是两人考得不好。,0,2020-08-26 21:03 ,negative
14,14,https://weibo.cn//u/1791192761,Alred_,女,北京,748,449,995,回复@咸味热拿铁:有病吧,0,2020-08-26 20:48 ,negative
15,15,https://weibo.cn//u/3268088831,黒黑黒黑,女,江苏,13,117,125,@您能让开吗,0,2020-08-26 20:48 ,positive
16,16,https://weibo.cn//u/2289250335,惠子惠惠子,女,湖南,455,316,243,回复@salo嗨翻天:不是啊 年轻人多赚钱不要一天到晚刷微博,0,2020-08-26 20:45 ,negative
17,17,https://weibo.cn//u/2289250335,惠子惠惠子,女,湖南,455,316,243,回复@salo嗨翻天:我没删 你自己去翻,0,2020-08-26 20:44 ,negative
18,18,https://weibo.cn//512034579,夏尔的袋底洞221B,女,广东,3713,473,424,回复@喵咪模拟器:有没有人来给写个横批！,1,2020-08-26 20:37 ,negative
19,19,https://weibo.cn//u/5492396788,salo嗨翻天,男,北京,165,241,19,回复@惠子惠惠子:敢问要是你的亲人炖冤狱你说不说？在你心里事不关己高高挂起。你还是挂起吧！,0,2020-08-26 20:31 ,negative
20,20,https://weibo.cn//u/3269454205,T糖糖甜甜圈,女,台湾,833,158,225,回复@zjmo2020:我看有消息说这男孩子耽误了高考，是真的么？我觉得因为这件事情耽误了高考那将是这个男孩子一生的阴影了，所以想求证一下。,0,2020-08-26 20:29 ,negative
21,21,https://weibo.cn//u/5492396788,salo嗨翻天,男,北京,165,241,19,回复@惠子惠惠子:嗯 手机用的低端都不该发表意见了！以后都拿手机出来比比，谁手机更好谁有理！真是有理有节！,0,2020-08-26 20:29 ,negative
22,22,https://weibo.cn//u/5492396788,salo嗨翻天,男,北京,165,241,19,回复@惠子惠惠子:删评删得快，不要忘了网络有记忆。,0,2020-08-26 20:28 ,positive
