,Unnamed: 0,评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间,senta_sentiments
0,0,https://weibo.cn//nieyinghui,尖灬果儿,女,山东,246,709,499,👏👏👏👏见义勇为被拘留，大开眼界,3944,2020-08-25 09:20,negative
1,1,https://weibo.cn//u/2501811965,褴褛猫C,女,其他,3433,1117,253,厉害，降分录取的就是这些人才吗？都是猥亵犯强奸犯同伙？,2555,2020-08-25 09:23,negative
2,2,https://weibo.cn//lihuaruxue,梨花如雪独一枝,女,上海,7958,590,959,不能谁受伤谁有理吧，现在断案这么随便？,1907,2020-08-25 09:26,negative
3,3,https://weibo.cn//u/7448656912,听山海未眠,女,其他,0,52,2,国家法律就这样了？如果见义勇为有罪那么谁还敢出手相救?,0,2020-08-26 22:20 ,negative
4,4,https://weibo.cn//u/5038122818,且听风吟818,男,北京,245,129,47,回复@ylyhkmsn:你看看福建那个见义勇为，要不是在网上发酵，那个见义勇为的都被判刑了。,0,2020-08-26 22:20 ,negative
5,5,https://weibo.cn//u/7448656912,听山海未眠,女,其他,0,52,2,1966年多少岁了？老不知羞，服了,0,2020-08-26 22:19 ,negative
6,6,https://weibo.cn//u/5320967397,神绮175,女,其他,344,668,35,回复@嘿快藏起来:这都已经违背大多数人的道德认知了，如果不讲道德全凭法理，这件事对社会的危害远大于顺从情理。法律是为了让社会更好，而不是更坏。教条主义的法律工作者对社会也是一种隐患,0,2020-08-26 21:03 ,negative
7,7,https://weibo.cn//u/5320967397,神绮175,女,其他,344,668,35,回复@羽我同行123:法律的目的是让社会更好，而不是让社会变得冷漠无情。况且法律本身就存在漏洞，这种情况还是不要搞非主流了，不然之于社会也是一种危害,0,2020-08-26 20:49 ,negative
8,8,https://weibo.cn//u/5737710749,一江日辰,男,安徽,47,245,13,：又是永州，永州的警察就是真的没有用，真当大家都忘了当年强奸未成年女生的事件了吗？不得不说前人的预言，真的非常准：永州之野产异蛇，黑质而白章，触草木，尽死，以啮人，无御之者。 🐍=👮♂️ ,0,2020-08-26 19:50 ,negative
9,9,https://weibo.cn//u/3128283261,山坡上的小羔羊,女,海南,306,167,140,让人寒心,0,2020-08-26 17:12 ,negative
10,10,https://weibo.cn//u/5624047135,Yeah000math,女,海外,28,933,123,回复@褴褛猫C:我告诉你们有的警察，就那种初中毕业后去上的那种中专，什么警官学院之后出来的都可以当警察....害,0,2020-08-26 16:47 ,negative
11,11,https://weibo.cn//u/6122654077,一夜东风吹-,女,江苏,78,11,121,回复@爱捣蛋的小行星999:hhhhh有道理，装作害怕，弱小，委屈，然后他他踢到半死。,0,2020-08-26 16:45 ,negative
12,12,https://weibo.cn//u/1417961507,香界寺习武好少年,男,北京,676,471,45,道德滑坡是政府一手导致的,0,2020-08-26 16:26 ,negative
13,13,https://weibo.cn//u/5935940616,中华田园小土人aa,女,其他,33,167,277,回复@可是可是lii:可惜只有善良的人才会有良知 表态不会自责的 管他自责不自责 法律制裁他就行了 这件事情舆论压力这么大，应该不会不了了之了。,0,2020-08-26 16:25 ,negative
14,14,https://weibo.cn//u/5100469324,RyuoYaegashi,男,海外,1049,416,161,回复@想想施拉姆会怎么做:好好读书把本科拿到再来说话行吗？你退下去吧，指不上你说些有用的话，你唯一的作用就是好好读书就行这些不指望你,0,2020-08-26 15:45 ,negative
15,15,https://weibo.cn//u/5272217175,想想施拉姆会怎么做,女,山西,239,269,432,回复@RyuoYaegashi:我没说这不是一起猥亵的犯罪行为吧？ 人家新闻的定性也是啊！？ 故意碰撞是细节描述，有什么问题吗？脑残？自作聪明 我吐了,0,2020-08-26 15:42 ,negative
16,16,https://weibo.cn//61787178,泰山大祭司,男,山东,14273,2349,349377,哈哈哈哈哈烂透了~,0,2020-08-26 14:44 ,negative
17,17,https://weibo.cn//u/7364347528,吃完这顿就减肥鸭,女,河南,33,56,3,回复@abrightlife:网民人数众多，从网上看到的消息也往往是片面性碎片化的，后来者往往会被前者发表的意见影响到而“人云亦云”，大反转的新闻见过很多。所以司法应在避免舆论影响的情况下发挥好法律的教育和评价作用，法律倾听民众的声音，但要超越民众的偏见。警方已经把这个案子提到市里重新调查，不如等一下调查结果,0,2020-08-26 13:48 ,positive
18,18,https://weibo.cn//u/6047601672,TCJ是心动啊,男,四川,0,69,41,回复@嘿快藏起来:这么说，你东西被偷了，小偷跑了，你还不能追，追到他，他受伤了你还得坐牢？？？？,0,2020-08-26 12:53 ,negative
19,19,https://weibo.cn//u/2104805677,道不同盟,男,江苏,23,4,39,回复@尖灬果儿:威武霸气,0,2020-08-26 12:40 ,positive
20,20,https://weibo.cn//u/1640131722,童妈js,女,江苏,333,266,255,回复@嘿快藏起来:学法学到不是人了,0,2020-08-26 11:58 ,negative
21,21,https://weibo.cn//u/3719951412,空城_____cc,男,山东,86,204,95,漂亮！弟弟！  你们真助长那些猥亵者的气焰！猥亵打死都不为过好吧！只有让他们知道猥亵的后果多严重，才能根本杜绝这种不良行为，现在警察跟猥亵者站在一块处罚的竟然是阻止猥亵的？干的真尼玛漂亮，这一行为得塑造多少猥亵者啊！你成功让所有人知道，有人猥亵时别阻止，阻止得他妈好生求着人家别猥亵,0,2020-08-26 11:56 ,negative
22,22,https://weibo.cn//u/5975287276,窗边的Tom,女,安徽,1214,1027,152,回复@尖灬果儿:能不能不要给男孩子留案底，,0,2020-08-26 11:30 ,negative
23,23,https://weibo.cn//u/5690786331,诩big飖,女,四川,3,88,35,这事不对呀，如果当时被小孩踢骨折，为什么在之后该猥琐男子又以同样方式撞击另一女子，他不是骨折了吗，是不是敲诈啊[捂脸]，应该认真调查一下啊,0,2020-08-26 11:22 ,negative
24,24,https://weibo.cn//u/2134919481,去衝浪,男,湖南,81,163,226,回复@Xinyuyuyu:好迷惑,0,2020-08-26 11:22 ,negative
25,25,https://weibo.cn//u/5492124216,斗勇者,男,河北,12,97,2,经历了上下五千年，无论是唐宋元明清，还是民国，他们生他们死，他们兴，他们亡，中国还是中国,0,2020-08-26 11:10 ,positive
26,26,https://weibo.cn//myloverfujing,付付静,女,其他,14696,611,4503,回复@饣反木甬i:多读书——见义勇为是指个人不顾自身安危通过同违法犯罪行为做斗争或者抢险、救灾、救人等方式保护国家、集体的利益和他人的人身、财产安全的一种行为。,0,2020-08-26 11:04 ,positive
27,27,https://weibo.cn//u/6410600070,紫玉轩微尘,男,安徽,198,152,63,不是别人多优秀，主要是同行的衬托,1,2020-08-26 10:59 ,positive
28,28,https://weibo.cn//u/5335112243,nw知间,女,吉林,95,50,16,回复@饣反木甬i:哦🙄 ，不认识才叫见义勇为,0,2020-08-26 10:44 ,negative
29,29,https://weibo.cn//u/5948822892,香菇菇菇菇芹菜菜菜菜,女,青海,7261,96,420,一脚能踢成肱骨骨折我还能理解是摔地上摔的但是右股骨粗隆间粉碎性骨折能摔成这样的一般都会是七八十岁的老头老太太，再又一脚能踢成这样那这孩子得是大力士吧再又如果真的是当场造成的那猥亵男还能跑他是什么超人吧骨折后还能跑的他真是第一人     举报             赞[0]         回复             今天 10:42 来自网页,0,2020-08-26 10:42 ,negative
30,30,https://weibo.cn//fengqianzhou,画画君,男,海外,2076,642,1078,呸,0,2020-08-26 10:28 ,negative
31,31,https://weibo.cn//u/5151092280,我的夏洛克,男,其他,694,108,91,回复@褴褛猫C:卧槽 那么恶心啊 考这个分数的都是在学校混日子的,0,2020-08-26 10:26 ,negative
32,32,https://weibo.cn//u/5915091558,踩着风火轮的小胖子,男,河北,138,97,256,回复@爱捣蛋的小行星999:故意伤害和有没有理由没有什么必然关系的呀,0,2020-08-26 10:08 ,negative
33,33,https://weibo.cn//u/6501900938,Xinyuyuyu,女,湖南,245,133,107, 娃崽你看这个,0,2020-08-26 10:05 ,negative
34,34,https://weibo.cn//u/5153160637,爱捣蛋的小行星999,女,江苏,325,318,70,回复@一夜东风吹-:看演技吧应该，哈哈哈，被猥亵的女孩子应该装的十分恐惧害怕，不小心～这样至少看起来值得同情，就算把流氓给踢残废也是情有可原的，毕竟有些流氓会骨折,0,2020-08-26 10:00 ,negative
35,35,https://weibo.cn//u/5153160637,爱捣蛋的小行星999,女,江苏,334,330,71,回复@踩着风火轮的小胖子:关键是不是故意，还是说因为对方骨折了，就是故意？这个很难判断的，在我看来，故意就是毫无理由的，可是对面是有理由的，总觉得很矛盾，这就是为什么许多人不服这个故意伤害的原因吧……我不是学法律的，纯个人看法，不用喷我,0,2020-08-26 09:57 ,negative
36,36,https://weibo.cn//u/5153160637,爱捣蛋的小行星999,女,江苏,334,330,71,回复@只此一生好好活:女孩应该也摸回来，无意触碰下，让这个老流氓下半身不能人道，这应该属于正当防卫了吧，呵呵,0,2020-08-26 09:54 ,negative
