,Unnamed: 0,评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间,senta_sentiments
0,0,https://weibo.cn//dfjb,东方今报,女,河南,76756,1106,7477117,【最新消息｜踹伤猥亵男男生被解除刑拘，父亲：26日凌晨到家今天吃团圆饭】,115,2020-08-26 11:02 ,negative
1,1,https://weibo.cn//nieyinghui,尖灬果儿,女,山东,246,708,499,20万你🐎，怎么没踹死你,3601,2020-08-25 18:30,negative
2,2,https://weibo.cn//u/5538346779,ZsHAn-0,女,辽宁,12,106,68,气死我了！！！当好人成本这么高了嘛！？！！！猥亵的没有被惩罚 好人觉得自己做错了 已经这样了嘛？？？！,3005,2020-08-25 18:31,negative
3,3,https://weibo.cn//u/3536817067,qiqi是大王,女,北京,1047,204,188,回复@菠萝蜜菠萝包菠萝汉堡包:真的寒心，那个警察跟我说，那边不是讲道理的人，我心想不讲道理就坑我么，我一小姑娘，对面一对30多岁男女，愣是让我赔钱了。。主要当着警察面还在威胁打我，我都快吓死了，从那以后对这个职业看法跟以前完全不一样了，这是保护老百姓么，不，这就是为什么嚣张跋扈的人那么多，警察惯的,0,2020-08-26 22:46,negative
4,4,https://weibo.cn//u/7312327731,红菜行,女,辽宁,2,147,7,回复@东方今报:警察呀他是踹的是坏蛋也拘留，以后没有人敢见义勇为了,0,2020-08-26 22:24,negative
5,5,https://weibo.cn//u/3904779772,傻开心的gt,男,浙江,17,665,183,回复@秋炒栗子:已经完了,0,2020-08-26 22:17,negative
6,6,https://weibo.cn//u/1744859155,skipper6666666,男,北京,200,931,155,求人肉猥琐老乌龟的家庭住址联系方式,0,2020-08-26 22:16 ,negative
7,7,https://weibo.cn//u/5654528459,巴卫的欧尼酱,女,其他,1828,152,184,回复@蕾米莉亚丶抱头蹲防丶斯卡雷特:悠着点 被揍死那就是另一个故事,0,2020-08-26 22:13 ,negative
8,8,https://weibo.cn//u/3187601062,菠萝蜜菠萝包菠萝汉堡包,女,北京,158,358,126,回复@qiqi是大王:哎、差不多、一个无赖、干活不好好干活结果找员工茬、骂得那叫一个难听、后来男同事听不下去了要揍她都没打到、结果报警我们想让警方把她弄走、结果警察让我们赔偿说五百人家不同意和解、不然要男同事拘留很麻烦、结果没办法给了。这处理方法让我很吃惊、这不是助纣为虐么…反正从那之后对警察,0,2020-08-26 21:56 ,negative
9,9,https://weibo.cn//u/6753393719,微雪的清晨,男,北京,1674,342,62,回复@lonkonw:按照马克思主义的观点，而不是当前的修正主义的观点，法律是具有阶级性的，反动派当权，法律自然是保护坏人迫害好人的，这是四十年来血淋淋的现实。,0,2020-08-26 21:37 ,negative
