id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4542227496573790,JhIwRrA8S,#豪华中学农民工三年工资正结算#【#被拆除豪华中学农民工三年工资未结# 劳动局：正在结算立刻发】“现在正在发钱，欠了三年的钱今天结清了！”8月26日中午，@东方今报 记者收到陕西镇安中学务工人员反馈信息。随后记者从镇安县人事和劳动保障局了解到，该校所有务工人员工资正在结算，将在施工单位提供结算单后第一时间发放。一名包工人员告诉记者，学校欠自己包工队的20余万工资已结清，其中包括2018、2019年欠款。另一名务工人员表示，他们正根据县劳动局要求，整理务工以来的结算单，对方承诺将结算发放。东方今报的微博视频,,,"http://f.video.weibocdn.com/XP6LWfZ3lx07FWkRLnVC01041200gKLH0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1CwnkDw1GXwCQx&Expires=1598453321&ssig=4661tb%2Fhum&KID=unistore,video",,2020-08-26,iPhone客户端,814,113,40,"豪华中学农民工三年工资正结算,被拆除豪华中学农民工三年工资未结",东方今报
4542287621924739,JhK5Q84Ib,【视频：#习近平向中国人民警察队伍授旗#并致训词】中国人民警察警旗授旗仪式26日在人民大会堂举行。习近平向中国人民警察队伍授旗并致训词，代表党中央向全体人民警察致以热烈的祝贺。央视新闻的微博视频 @央视新闻 ,,,"http://f.video.weibocdn.com/oMSeJCiTlx07FWs8pXTW01041201rFqx0E010.mp4?label=mp4_hd&template=640x360.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1CwnkDw1GXwCQx&Expires=1598453302&ssig=N27EUhfVFz&KID=unistore,video",,2020-08-26,iPhone客户端,1,0,2,习近平向中国人民警察队伍授旗,央视新闻
4542287301837858,JhK5k7I6S,【最惠开学季来了！“淘气包”和奥运冠军将做客打造线上《开讲啦》】8月26日，新电商平台拼多多将上线史上最大优惠“开学季”活动，“开学季”期间，将邀请多位大咖来到直播间和网友们分享读书故事。8月31日，知名儿童文学作家杨红樱将做客直播间，和大家分享自己读书和创作的经历。9月1日，中国首位女性奥运“五金”冠军吴敏霞也将来到直播间，和网友们聊聊读书的故事，并分享她心目中的“开学必备清单”。,,https://wx2.sinaimg.cn/large/63b09f89ly1gi4jloycd0j20zv0lhb29.jpg,,,2020-08-26,iPhone客户端,0,0,0,,
4542265706680158,JhJwus1Ou,#发现身边的温暖# 【爱的延续！19岁#女大学生车祸离世捐器官救5人#】22日，安徽19岁女孩兰贵枝因车祸离世。她的家人决定，将她的肝脏、双肾和一对眼角膜捐献出去，让5名患者重获新生。兰贵枝母亲表示：“她就是发挥一点最后的光和热吧，能够救助更多患者，让他们重归健康。”@看看新闻Knews 正能量News的秒拍视频 ,,,"https://gslb.miaopai.com/stream/X2w2Tv~5M4q0ef21FrTgu~R1BNG2yd9aWfIi~g__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_hd&mpflag=8&ori=0&ps=1EO8O2oFB1ePdo&Expires=1598453325&ssig=XjwRgA3YwC&KID=unistore,video",,2020-08-26,iPhone客户端,23,1,0,"发现身边的温暖,女大学生车祸离世捐器官救5人",看看新闻Knews
4542260835785256,JhJoDoh0A,#医生潜2.5米深河底救少年#【15岁少年溺水休克 休班医生潜河底救起 连续按压5分钟救回】四川宜宾，8月16日，一名15岁男娃在河里游泳时不慎溺水。回老家过周末的医生郑志和表哥等人发现后，潜下约2.5米深的水底将溺水者救起，马上采取倒水以及心肺复苏，郑志人工呼吸，其表哥按压，经过大约七八分钟施救，男孩有了呼吸，赶来的120车接走送医，目前孩子无大碍。#发现身边的温暖# （沸点视频）沸点正能量的微博视频,,,"http://f.video.weibocdn.com/HMB8GKJhlx07FW919OOk01041200m8610E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1CwnkDw1GXwCQx&Expires=1598453324&ssig=o0PCK3qesW&KID=unistore,video",,2020-08-26,iPhone客户端,40,4,6,"医生潜2.5米深河底救少年,发现身边的温暖",
4542251940716428,JhJai30ni,【东方今报联合多部门打造公益招聘会别样庆生 3万个优岗等你来】 50家头部名企，30000个优岗，职等你来，只等你来！8月29日上午，“勇往职前”——河南郑州“稳就业保民生”线上线下精准招聘会，将正式启幕，活动将持续一周时间。9月1日，东方今报将迎来16岁生日，在省人力资源和社会保障厅和河南广播电视台指导支持下，东方今报联合省人力资源和社会保障厅就业促进局、郑州市人力资源和社会保障局、郑州市职业介绍中心推出大型公益就业活动，别样庆生“保民生”。 东方今报联合多部门打造公益招聘会别样庆生 3万个优岗等你来,,,,,2020-08-26,微博 weibo.com,3,0,1,,
4542239697797943,JhIQxwIBh,#中国人民警察警旗式样#【#中国人民警察警旗式样公布#】经党中央批准，中国人民警察警旗式样确定。警旗旗面由红蓝两色组成，红色为主色调，长方形，警徽居旗帜左上角。红色体现党对人民警察队伍的绝对领导、全面领导，彰显人民警察队伍绝对忠诚、绝对纯洁、绝对可靠的政治本色；蓝色凸显人民警察的职业特征，代表人民警察对平安的守护。警旗通用规格共分为四种：（一）长240厘米、宽160厘米；（二）长192厘米、宽128厘米；（三）长144厘米、宽96厘米；（四）长96厘米、宽64厘米。警旗是人民警察队伍的重要标志，是人民警察荣誉、责任和使命的象征。确定中国人民警察警旗，对于深入推进人民警察队伍革命化正规化专业化职业化建设、激励人民警察忠实履行党和人民赋予的新时代使命任务具有重要意义。,,https://wx1.sinaimg.cn/large/63b09f89ly1gi4e4uusekj20u01hcaxa.jpg,,,2020-08-26,iPhone客户端,19,4,2,"中国人民警察警旗式样,中国人民警察警旗式样公布",
4542239286240474,JhIPSqbqO,【#江西17岁少年的死亡追问#：失联十余天方知其已被刑拘 家属质疑：看守所内昏倒为何继续擦地板】2019年6月，某美发店学徒工杨文鹏因涉嫌聚众斗殴罪，被江西湖口县公安局刑事拘留，羁押在湖口县看守所，7月30日被批捕。 9月2日，杨文鹏突然“间断恶心、呕吐4天，晕厥1天”，被送往九江市第一人民医院住院治疗。9月14日，杨文鹏的父亲杨恒红才接到双钟派出所民警兰青的电话，称孩子正在ICU病房抢救。10月17日，杨文鹏死亡，南昌大学司法医学鉴定研究所出具的司法鉴定意见书上显示：杨文鹏符合患化脓性脑炎导致昏迷等表现，最终多脏器功能衰竭而死亡。昔日活蹦乱跳的杨文鹏转眼间变成了一具冰冷的尸体，化脓性脑炎的死因更是让杨恒红一家产生疑惑，17岁的杨文鹏在湖口县看守所羁押期间，究竟经历了什么？（大象新闻）详情↓ 江西17岁少年的死亡追问：失联十余天方知其已被刑拘,,,,,2020-08-26,微博 weibo.com,64,12,14,江西17岁少年的死亡追问,
4542237121451054,JhIMo65u6,【#赵立坚用一二三回应美防长说准备对抗中国#】近日，美国国防部长埃斯珀再抛“中国威胁论”，并称“已准备好和中国对抗”。对此，中国外交部发言人赵立坚表示，埃斯珀先生的有关说法毫无依据。#赵立坚对美防长提出一忠告两事实三问题#：一个忠告。希望埃斯珀先生能够仔细阅读中方发布的《蓬佩奥涉华演讲的满嘴谎言与事实真相》， 其中大量事实和数据都足以戳穿粉碎所谓“中国威胁”的谎言和谬论。两个事实。一是自1990年以来，中国军队累计参与20多项联合国维和行动，派出维和军事人员4万多人次，是安理会“五常”中派出维和部队最多的国家。二是美国建国240多年历史上，只有16年没打过仗。美国2019年军费预算超过7160亿美元，这相当于美国后面9个国家军费开支的总和。三个问题。第一，中国奉行防御性国防政策，《中国共产党章程》和《中华人民共和国宪法》都明确表明中国坚持和平发展道路、反对霸权主义。美国能作出这样的政策宣示吗？第二，是谁在全世界拥有数百个军事基地，非法对伊拉克、叙利亚、利比亚等国发动战争和军事行动，派舰机到远离本土的海域“大秀肌肉”？第三，是谁固守冷战思维，不断“毁约”“退群”，挥舞“大棒和拳头”，肆意破坏全球规则？美方一些政客只要尊重事实，就能得出正确答案。（总台央视记者朱若梦 杨弘杨）央视新闻的微博视频,,,"http://f.video.weibocdn.com/8RBn9p8Rlx07FWg4ZScw01041200gdOA0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1CwnkDw1GXwCQx&Expires=1598453329&ssig=I3CDOhpJKA&KID=unistore,video",,2020-08-26,iPhone客户端,7,1,2,"赵立坚用一二三回应美防长说准备对抗中国,赵立坚对美防长提出一忠告两事实三问题",
4542235557768485,JhIJRwAW9,【#孟佳回应选张含韵PK争议#：这种环节选谁都会被指责！】作为前韩国女团成员，@M孟佳J 的舞台实力毋庸置疑，但这位有颜有身材有实力的“姐姐”，直到在《乘风破浪的姐姐》中才尝到红的滋味。在复活赛上，孟佳与其他姐姐合作了《玫瑰少年》，唱着“最美的盛开是反击”，强势归来。复活成功后，曾人气垫底的她，逆袭成为观众喜爱度排名第一。对于这趟有点曲折但精彩的旅程，孟佳也有不少感悟，在接受@净看明星 记者采访时，她回应了质疑，也坦诚透露了淘汰又复活的心路历程。 净看明星的微博视频,,,"http://f.video.weibocdn.com/DRaMSTVflx07FWmX8lmU01041200EMpI0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&ori=0&ps=1BThihd3VLAY5R&Expires=1598453345&ssig=bdOGWMDyQ8&KID=unistore,video",,2020-08-26,娱乐综合 · 视频社区,14,5,4,孟佳回应选张含韵PK争议,"M孟佳J,净看明星"
